Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2023-809570,08/02/2023,08/03/2023,Standard Class,CG-87397,Customer_0109,Consumer,United States,New York,California,38657,West,TEC-4811,Office Supplies,Storage,Fellowes Bankers Box,102.33,4,0.0,46.05
2,CA-2022-717889,10/31/2022,11/05/2022,First Class,CG-10851,Customer_0195,Consumer,United States,Houston,Texas,46421,West,TEC-3547,Office Supplies,Paper,Georgia-Pacific,331.03,9,0.5,16.55
3,CA-2021-733052,03/16/2021,03/23/2021,First Class,CG-15695,Customer_0187,Corporate,United States,Seattle,California,59615,Central,TEC-2291,Technology,Phones,Samsung Galaxy S23,687.18,2,0.3,75.59
4,CA-2023-910620,02/04/2023,02/07/2023,First Class,CG-20458,Customer_0060,Consumer,United States,Houston,Texas,69429,Central,TEC-6977,Office Supplies,Paper,Georgia-Pacific,43.67,2,0.1,16.16
5,CA-2020-660086,11/29/2020,12/02/2020,Second Class,CG-31417,Customer_0119,Corporate,United States,Chicago,Washington,38785,Central,TEC-6313,Technology,Accessories,Belkin Charger,887.3,2,0.0,310.55
6,CA-2020-322955,04/24/2020,04/26/2020,Same Day,CG-61856,Customer_0165,Corporate,United States,Los Angeles,Texas,28301,West,TEC-5040,Furniture,Furnishings,Eldon Wave Desk,355.49,2,0.3,14.22
7,CA-2023-245051,02/23/2023,02/28/2023,Same Day,CG-21915,Customer_0194,Consumer,United States,New York,New York,92240,Central,TEC-3621,Office Supplies,Labels,Maco Labels,359.76,10,0.1,133.11
8,CA-2023-813328,10/25/2023,10/29/2023,Standard Class,CG-99353,Customer_0138,Corporate,United States,Chicago,California,48469,West,TEC-8123,Furniture,Furnishings,Rogers Easel,2058.23,8,0.0,576.3
9,CA-2020-755674,11/19/2020,11/23/2020,First Class,CG-93748,Customer_0130,Home Office,United States,Los Angeles,New York,59009,West,TEC-3646,Office Supplies,Storage,Iris Weathertight,120.92,3,0.0,54.41
10,CA-2023-972064,01/09/2023,01/16/2023,First Class,CG-41385,Customer_0015,Consumer,United States,Seattle,California,21226,West,TEC-8962,Office Supplies,Storage,Storex Dura,24.47,1,0.3,5.14
11,CA-2020-322086,05/21/2020,05/28/2020,Second Class,CG-50857,Customer_0103,Home Office,United States,Chicago,Florida,77839,East,TEC-8397,Technology,Copiers,Brother HL-L2350DW,918.07,3,0.4,27.54
12,CA-2020-107540,09/04/2020,09/06/2020,Standard Class,CG-92719,Customer_0016,Consumer,United States,New York,California,53309,East,TEC-2160,Technology,Accessories,Logitech MX Keys,4215.69,10,0.1,1138.24
13,CA-2022-354801,11/18/2022,11/20/2022,Same Day,CG-63354,Customer_0049,Consumer,United States,New York,Florida,56438,Central,TEC-7939,Office Supplies,Art,Sanford Pencils,227.63,9,0.5,11.38
14,CA-2022-360735,04/21/2022,04/25/2022,Second Class,CG-34931,Customer_0138,Corporate,United States,Los Angeles,Florida,34050,West,TEC-5563,Office Supplies,Binders,Avery Heavy Duty,343.9,7,0.0,154.75
15,CA-2022-890170,08/05/2022,08/07/2022,Second Class,CG-31798,Customer_0105,Corporate,United States,Houston,New York,62565,West,TEC-1960,Furniture,Chairs,HON 5700 Chair,3006.06,9,0.0,841.7
16,CA-2020-262316,12/03/2020,12/07/2020,Second Class,CG-48890,Customer_0056,Consumer,United States,Seattle,Washington,17989,West,TEC-6138,Furniture,Bookcases,Bush Barrister,1153.76,5,0.5,-138.45
17,CA-2020-992697,04/27/2020,04/28/2020,Second Class,CG-18981,Customer_0153,Consumer,United States,Los Angeles,Florida,25713,South,TEC-5033,Office Supplies,Labels,Avery Address Labels,58.43,1,0.0,26.29
